Token,Predict
wants,want.v.01
book,book.n.02
can,O
be,O
given,give.v.03
's,O
older,old.a.01
than,O
father,father.n.01
bought,buy.v.01
dictionary,dictionary.n.01
too,O
ran,run.v.06
from,O
wound,wound.n.01
asked,ask.v.02
to,O
open,open.v.01
window,window.n.01
live,live.v.01
near,O
dam,dam.n.01
had,O
head,head.n.01
cut,cut_off.v.03
off,O
cyclists,cyclist.n.01
are,O
wearing,wear.v.01
cyclist,cyclist.n.01
shorts,shorts.n.01
made,make.v.06
of,O
spandex,spandex.n.01
was,O
years,year.n.01
old,old.a.01
heater,heater.n.01
does,O
n't,O
work,work.v.04
have,have.v.07
few,O
friends,friend.n.01
'm,O
reading,read.v.01
book,book.n.01
majored,major.v.01
in,O
college,college.n.02
threw,throw.v.01
in,O
river,river.n.01
smokes,smoke.v.01
dyed,dye.v.01
hair,hair.n.01
blue,blue.a.01
officials,official.n.01
do,O
n't,O
understand,understand.v.01
finance,finance.n.02
at~all,O
're,O
heading,head.v.01
home,home.n.01
do,O
n't,O
want,want.v.01
to,O
argue,argue.v.02
with,O
's,O
always,O
gossiping,gossip.v.01
wants,want.v.01
to,O
walk,walk.v.01
'm,O
watching,watch.v.03
movie,movie.n.01
In~other~words,O
's,O
dumb,dumb.a.01
of,O
friends,friend.n.01
like,like.v.02
computer~games,computer_game.n.01
was,O
stung,sting.v.02
by,O
bee,bee.n.01
waved,wave.v.01
at,O
from,O
helicopter,helicopter.n.01
made,make.v.16
speech,speech.n.01
in,O
support,support.n.03
of,O
plan,plan.n.01
was,O
poor,poor.a.02
and,O
lived,live.v.01
in,O
cabin,cabin.n.02
Emily,female.n.02
will,O
surprise,surprise.v.01
hates,hate.v.01
has,have.v.04
new,new.a.01
car,car.n.01
and,O
old,old.a.02
car,car.n.01
banged,bang.v.01
against,O
tree,tree.n.01
is,O
called,call.v.01
in,O
told,tell.v.02
'd,O
lost,lose.v.05
watch,watch.n.01
For,O
years,year.n.01
suffered,suffer.v.02
from,O
migraine,migraine.n.01
headaches,headache.n.02
Get,get.v.06
number,number.n.04
of,O
young,young.a.01
girl,girl.n.01
friend,friend.n.01
's,be.v.03
in,O
other,O
room,room.n.01
's,O
been,be.v.03
in,O
hospital,hospital.n.01
for,O
month,month.n.02
was,O
accepted,accept.v.05
by,O
baked,bake.v.02
three~dozen,O
cookies,cookie.n.01
was,O
very,very.r.01
tired,tired.a.01
today,O
watch,watch.n.01
is,O
waterproof,waterproof.a.01
Long,long.a.02
skirts,skirt.n.01
are,O
out~of~fashion,unfashionable.a.01
now,O
There,O
was,be.v.03
beautiful,beautiful.a.01
woman,woman.n.01
with,O
black,black.a.01
hair,hair.n.01
in,O
park,park.n.02
How,O
much,O
do,O
carrots,carrot.n.01
cost,cost.v.01
failed,fail.v.01
to,O
catch,catch.v.09
train,train.n.01
swarm,swarm.n.02
of,O
hornets,hornet.n.01
attacked,attack.v.04
children,child.n.01
guess,guess.v.03
is,O
was,O
robbed,rob.v.01
of,O
money,money.n.01
on,O
way,way.n.03
home,home.n.01
sad,sad.a.02
story,story.n.01
visited,visit.v.07
in,O
three,O
years,year.n.01
ago,O
've,O
gained,gain.v.09
three,O
kilograms,kilogram.n.01
and,O
are,O
playing,play.v.01
poker,poker.n.02
flew,fly.v.01
from,O
to,O
All,O
seats,seat.n.01
are,O
booked,booked.a.01
know,know.v.01
's,O
still,O
in~love,in_love.a.01
with,O
little~sister,little_sister.n.01
looks,look_like.v.01
like,O
mum,mum.n.02
All,O
apple~trees,apple_tree.n.01
were,O
cut,cut_down.v.06
down,O
galloping,gallop.v.02
inflation,inflation.n.01
has,O
been,O
lasting,last.v.01
for,O
three,O
years,year.n.01
now,O
People,person.n.01
are,O
frustrated,frustrated.a.01
and,O
angry,angry.a.01
How,O
many,O
letters,letter.n.02
does,O
Russian,country.n.02
alphabet,alphabet.n.01
have,have.v.02
's,O
totally,totally.r.01
wrong,wrong.a.01
toy,toy.n.01
was,O
broken,break.v.02
by,O
little~sister,little_sister.n.01
have,have.v.02
funny,funny.a.01
laugh,laugh.n.01
Let,O
not,O
play,play.v.01
tennis,tennis.n.01
There,O
are,be.v.03
many,O
red,red.a.01
flowers,flower.n.01
in,O
garden,garden.n.01
long,long.a.02
bridge,bridge.n.01
is,be.v.01
was,O
worn,worn_out.a.01
out,O
and,O
leaned,lean.v.01
against,O
apple~tree,apple_tree.n.01
scaled,scale.v.04
three,O
times,time.n.01
drove,drive.v.03
home,home.n.01
in,O
sports~car,sports_car.n.01
is,be.v.02
friend,O
of,O
mine,O
boy,boy.n.01
speaking,speak.v.03
is,O
taller,tall.a.01
than,O
want,want.v.01
to,O
kill,kill.v.01
somebody,person.n.01
squirrel,squirrel.n.01
hid,hide.v.02
among,O
branches,branch.n.02
There,O
are,be.v.03
always,O
lot,O
of,O
vehicles,vehicle.n.01
on,O
road,road.n.01
sharpened,sharpen.v.01
knives,knife.n.01
nose,nose.n.01
itches,itch.v.03
houses,house.n.01
are,O
years,year.n.01
old,old.a.02
walked,walk.v.01
about,O
mile,mile.n.01
pulled,pull.v.08
muscle,muscle.n.01
'll,O
give,give.v.03
book,book.n.02
father,father.n.01
complained,complain.v.01
about,O
traffic,traffic.n.01
noise,noise.n.01
weighs,weigh.v.01
pounds,pound.n.01
school,school.n.01
expelled,expel.v.01
Let,O
's,O
speak,speak.v.02
about,O
Do,O
tigers,tiger.n.02
purr,purr.v.02
've,O
never,O
excelled,excel.v.01
at,O
chess,chess.n.02
drank,drink.v.01
three,O
bottles,bottle.n.02
of,O
beer,beer.n.01
married,marry.v.01
rich,rich.a.01
girl,girl.n.01
from,O
've,O
been,O
married,married.a.01
for,O
three,O
years,year.n.01
got,get_up.v.02
up,O
minute,minute.n.01
ago,O
Put,put.v.01
scarf,scarf.n.01
around,O
neck,neck.n.01
'm,be.v.01
not,O
vegetarian,vegetarian.n.01
None,entity.n.01
of,O
books,book.n.01
are,O
useful,useful.a.01
was,O
arrested,arrest.v.01
because,O
stole,steal.v.01
money,money.n.01
swam,swim.v.01
in,O
sea,sea.n.01
comic~books,comic_book.n.01
were,O
piled,pile.v.01
on,O
desk,desk.n.01
was,O
born,bear.v.02
in,O
think,think.v.01
is,O
nasty,nasty.a.01
took,take.v.02
doctor,doctor.n.01
eight,O
hours,hour.n.01
to,O
do,do.v.02
operation,operation.n.06
never,O
saw,see.v.01
giraffe,giraffe.n.01
always,O
listens,listen.v.01
to,O
serious,serious.a.04
music,music.n.01
chose,choose.v.01
nice,nice.a.01
tie,tie.n.01
said,say.v.01
did,O
n't,O
matter,matter.v.01
bought,buy.v.01
lipstick,lipstick.n.01
for,O
Where,location.n.01
is,O
journey,journey.n.01
taking,take.v.27
cottage,cottage.n.01
reminds,remind.v.01
of,O
one,cottage.n.01
was,O
born,bear.v.02
in,O
vending~machine,vending_machine.n.01
is,O
n't,O
working,work.v.04
'm,O
not,O
proud,proud.a.01
of,O
behaviour,behaviour.n.02
people,person.n.01
do,O
n't,O
wear,wear.v.01
pajamas,pajama.n.02
did,O
n't,O
offer,offer.v.04
explanation,explanation.n.01
have,have.v.01
new,new.a.05
email,email.n.01
address,address.n.01
's,O
popular,popular.a.01
among,O
elderly,elderly.n.01
is,be.v.08
linguist,linguist.n.01
speaks,speak.v.03
English,english.n.01
fluently,fluently.r.01
talking,talk.v.01
to,O
yourself,O
again,O
Not,O
everyone,person.n.01
in,O
likes,like.v.03
dog,dog.n.01
is,O
chasing,chase.v.01
ball,ball.n.06
hole,hole.n.02
is,O
being,O
burrowed,burrow.v.01
by,O
badger,badger.n.02
grandmother,grandmother.n.01
is,O
already,O
more~than,O
ninety,O
years,year.n.01
old,old.a.01
bought,buy.v.01
album,album.n.01
belongs,belong.v.05
to,O
worked,work.v.02
for,O
Italian,country.n.02
director,director.n.04
is,O
awarded,award.v.01
honorary,honorary.a.01
Oscar,oscar.n.01
'm,O
very,very.r.01
sensitive,sensitive.a.01
to,O
cold,cold.n.02
have,have.v.01
blanket,blanket.n.01
killed,kill.v.01
mother,mother.n.01
Someone,person.n.01
stole,steal.v.01
passport,passport.n.02
union,union.n.07
of,O
and,O
took,take_place.v.01
place,O
in,O
clouds,cloud.n.02
look,look_like.v.01
like,O
flock,flock.n.03
of,O
white,white.a.01
sheep,sheep.n.01
assure,assure.v.01
error,error.n.01
like,O
will,O
never,O
happen,happen.v.02
again,O
There,O
are,be.v.03
lots,O
of,O
animals,animal.n.01
in,O
park,park.n.02
head,head.n.01
aches,ache.v.03
come,come.v.02
from,O
south,south.n.04
of,O
was,be.v.13
less~than,O
fifteen,O
dollars,dollar.n.01
student,student.n.01
is,O
American,country.n.02
mother,mother.n.01
was,O
exhausted,exhausted.a.01
dentist,dentist.n.01
put,put_in.v.01
in,O
temporary,temporary.a.01
filling,filling.n.05
is,O
n't,O
alone,alone.a.02
anymore,O
dropped,drop_out.v.03
out,O
of,O
school,school.n.01
shaved,shave.v.01
mustache,mustache.n.01
off,O
fiancé,fiance.n.01
gave,give.v.08
very,very.r.01
big,big.a.01
ring,ring.n.08
cat,cat.n.01
has,have.v.02
two,O
ears,ear.n.01
's,be.v.08
's,O
shoes,shoe.n.01
are,O
dirty,dirty.a.01
had,have.v.16
cold,cold.n.01
but,O
went,go.v.01
to,O
work,work.n.06
is,O
so,so.r.01
depressing,depressing.a.01
blood,blood.n.01
is,O
red,red.a.01
sha',O
n't,O
know,know.v.01
sends,send.v.03
thanked,thank.v.01
and,O
stuck,stick.v.01
rose,rose.n.01
in,O
button-hole,button_hole.n.01
supports,support.v.05
suspicion,suspicion.n.01
bank,bank.n.02
employee,employee.n.01
was,O
involved,involve.v.02
in,O
crime,crime.n.01
sea,sea.n.01
is,be.v.03
near,O
How,manner.n.01
did,O
die,die.v.01
How,O
many,O
people,person.n.01
visited,visit.v.01
in,O
're,O
being,O
contentious,contentious.a.01
is,O
n't,O
safe,safe.a.01
Many,O
restaurants,restaurant.n.01
now,O
have,have.v.02
free,free.a.03
dogs,dog.n.01
started,start.v.01
barking,bark.v.04
at,O
pretty,pretty.a.01
robin,robin.n.01
landed,land.v.01
on,O
room,room.n.01
's,O
windowsill,windowsill.n.01
called,call.v.03
at,O
eleven,O
designed,design.v.02
building,building.n.01
does,O
n't,O
speak,speak.v.02
to,O
is,O
puzzled,puzzled.a.01
is,O
bustling,bustle_about.v.01
about,O
in,O
kitchen,kitchen.n.01
a~hundred,O
homes,home.n.01
have,O
been,O
damaged,damage.v.01
by,O
flood,flood.n.01
's,O
right,right.a.01
eye,eye.n.01
is,O
twitching,twitch.v.01
again,O
How,O
many,O
kilograms,kilogram.n.01
do,O
weigh,weigh.v.01
's,O
futile,futile.a.01
lovely,lovely.a.01
puppies,puppy.n.01
are,be.v.01
house,house.n.01
is,be.v.03
on,O
south,south.a.01
bank,bank.n.01
of,O
looking,look.v.01
is,O
very,very.r.01
bright,bright.a.03
is,O
self-centered,self-centered.a.01
put,put.v.01
few,O
blueberries,blueberry.n.02
in,O
tea,tea.n.01
was,O
aching,ache.v.02
for,O
cigarette,cigarette.n.01
bank,bank.n.02
was,O
run,run.v.04
by,O
private~citizens,private_citizen.n.01
is,O
confident,confident.a.01
of,O
friends,friend.n.01
like,like.v.03
dishonest,dishonest.a.01
fellow,fellow.n.01
is,O
awkward,awkward.a.02
actual,actual.a.01
cost,cost.n.01
was,O
higher,high.a.01
than,O
estimate,estimate.n.01
'm,O
as,O
tall,tall.a.01
father,father.n.01
town,town.n.01
is,O
two,O
miles,mile.n.01
away,away.r.05
from,O
coast,coast.n.01
stuck,stick.v.01
pencil,pencil.n.01
behind,O
ear,ear.n.01
grandmother,grandmother.n.01
suffers,suffer.v.02
from,O
osteoporosis,osteoporosis.n.01
price,price.n.02
is,O
low,low.a.01
but,O
quality,quality.n.01
n't,O
very,very.r.01
good,good.a.01
like,like.v.02
comic~books,comic_book.n.01
is,O
two,O
years,O
older,old.a.01
than,O
bought,buy.v.01
dictionary,dictionary.n.01
too,O
great,great.a.04
place,place.n.01
answered,answer.v.01
of,O
letters,letter.n.01
won,win.v.01
silver~medal,silver_medal.n.01
expedition,expedition.n.02
will,O
be,O
expensive,expensive.a.01
chased,chase.v.01
thief,thief.n.01
and,O
stopped,stop.v.01
picked,pick_up.v.03
up,O
hitchhiker,hitchhiker.n.01
There,O
are,be.v.03
ten~thousand,O
students,student.n.01
in,O
university,university.n.02
're,O
smiling,smile.v.01
hung,hang_up.v.01
up,O
There,O
is,be.v.03
dragonfly,dragonfly.n.01
on,O
ceiling,ceiling.n.01
hate,hate.v.01
rug,rug.n.01
trusted,trust.v.01
won,win.v.01
many,O
competitions,competition.n.02
found,find.v.01
dried,dried.a.02
salted,salted.a.01
beef,beef.n.02
do,O
n't,O
work,work.v.02
for,O
nobody,person.n.01
There,O
are,be.v.03
lot,O
of,O
tattoos,tattoo.n.02
on,O
body,body.n.05
was,O
defeated,defeat.v.01
had,have.v.06
breakfast,breakfast.n.01
at,O
correct,correct.a.01
is,O
n't,O
tall,tall.a.01
sails,sail.v.01
to,O
turned,turn.v.01
doorknob,doorknob.n.01
How,O
many,O
flowers,flower.n.01
are,be.v.03
there,O
in,O
vase,vase.n.01
bought,buy.v.01
red,red.a.01
sweater,sweater.n.01
at,O
shop,shop.n.01
has,have.v.04
ring,ring.n.08
is,O
ruined,ruined.a.01
tool,tool.n.01
is,O
good~for~nothing,good-for-nothing.a.01
thought,think.v.01
guy,guy.n.01
had,have.v.01
gun,gun.n.01
so,O
shot,shoot.v.01
're,O
fabulous,fabulous.a.01
kissed,kiss.v.01
was,O
already,O
in~love,in_love.a.01
with,O
curtain,curtain.n.01
fell,fall.v.02
amid,O
wild,wild.a.03
applause,applause.n.01
of,O
audience,audience.n.01
did,O
hear,hear.v.02
rumor,rumor.n.01
from,O
loves,love.v.01
chocolate,chocolate.n.02
too,O
put,put.v.01
thermometer,thermometer.n.01
under,O
arm,arm.n.01
am,O
peeling,peel.v.01
apples,apple.n.01
served,serve.v.06
coffee,coffee.n.01
Boiling,boil.v.02
lobsters,lobster.n.02
is,O
illegal,illegal.a.01
in,O
town,town.n.01
of,O
picked,pick.v.02
broken,broken.a.01
glass,glass.n.01
off,O
floor,floor.n.01
threw,throw.v.01
stone,stone.n.01
at,O
dog,dog.n.01
girl,girl.n.01
is,O
playing,play.v.07
flute,flute.n.01
is,O
kind,kind.a.01
of,O
money,money.n.01
has,O
been,O
stolen,steal.v.01
ear,ear.n.01
is,O
itching,itch.n.03
poured,pour.v.01
water,water.n.06
into,O
bucket,bucket.n.01
company,company.n.01
invested,invest.v.01
lot,O
of,O
money,money.n.01
in,O
project,project.n.01
got,get_into.v.02
into,O
car,car.n.01
spoke,speak.v.02
to,O
teacher,teacher.n.01
Where,location.n.01
is,be.v.03
classroom,classroom.n.01
's,be.v.03
on,O
third,O
floor,floor.n.02
broke,break.v.03
's,O
clarinet,clarinet.n.01
convinced,convince.v.01
was,O
wrong,wrong.a.01
are,O
dyeing,dye.v.01
hair,hair.n.01
brown,brown.a.01
Let,O
fly,fly.v.05
kite,kite.n.03
's,O
bit,O
jealous,jealous.a.01
bananas,banana.n.02
are,O
not,O
ripe,ripe.a.01
Three,O
people,person.n.01
were,O
arrested,arrest.v.01
clerk,clerk.n.01
labeled,label.v.02
baggage,baggage.n.01
did,O
n't,O
flunk,flunk.v.01
title,title.n.02
of,O
play,play.n.01
is,be.v.02
car,car.n.01
consumes,consume.v.05
lot,O
of,O
fuel,fuel.n.01
mess,mess.n.01
Cat~Stevens,male.n.02
is,be.v.01
not,O
cat,cat.n.01
's,be.v.01
singer,singer.n.01
house,house.n.01
had,have.v.02
garden,garden.n.03
wind,wind.n.01
fanned,fan.v.04
flames,flame.n.01
's,O
personal,personal.a.01
vocabulary,vocabulary.n.02
consisted,consist.v.04
of,O
about,O
eighty~thousand,O
words,word.n.01
know,know.v.01
dirty,dirty.a.02
jokes,joke.n.01
but,O
do,O
n't,O
tell,tell.v.03
Cinderella,female.n.02
had,have.v.01
two,O
evil,evil.a.01
stepsisters,stepsister.n.01
has,O
drawn,draw_up.v.04
up,O
will,will.n.03
pants,pants.n.03
were,O
soaked,soak.v.01
baked,bake.v.02
apple~pie,apple_pie.n.01
'll,O
never,O
return,return.v.01
'm,O
freaking,freak_out.v.01
out,O
wrapped,wrap.v.01
sandwich,sandwich.n.01
in,O
plastic,plastic.n.01
wrap,wrap.n.03
're,O
confusing,confuse.v.01
with,O
is,O
n't,O
mad,mad.a.01
at,O
Do,O
like,like.v.03
're,be.v.02
not,O
girlfriend,girlfriend.n.02
anymore,O
have,have.v.16
nosebleed,nosebleed.n.01
originated,originate.v.02
psychoanalysis,psychoanalysis.n.01
prisoners,prisoner.n.01
have,O
vanished,vanish.v.01
zipped,zip_up.v.01
up,O
jacket,jacket.n.01
does,O
not,O
let,let_up.v.02
up,O
is,be.v.01
important,important.a.01
film,film.n.01
can,O
borrow,borrow.v.01
car,car.n.01
for,O
few,O
days,day.n.01
is,O
sport,sport.n.01
which,O
never,O
called,call_off.v.01
off,O
by,O
rain,rain.n.01
guy,guy.n.01
is,be.v.01
party~pooper,party_pooper.n.01
sealed,seal.v.02
envelope,envelope.n.01
boat,boat.n.01
sails,sail.v.01
through,O
want,want.v.01
to,O
go,go.v.01
was,O
born,bear.v.02
in,O
bit,bite.v.01
compared,compare.v.01
answers,answer.n.02
with,O
's,answer.n.02
researchers,researcher.n.01
trained,train.v.04
monkeys,monkey.n.01
to,O
play,play.v.01
video~game,video_game.n.01
person,person.n.01
is,O
drinking,drink.v.01
orange~juice,orange_juice.n.01
and,O
walking,walk.v.01
was,O
founded,found.v.01
by,O
and,O
belongs,belong.v.05
to,O
was,be.v.08
king,king.n.01
of,O
from,O
to,O
is,be.v.03
under,O
chair,chair.n.01
asked,ask.v.02
is,O
as,O
tall,tall.a.01
father,father.n.01
children,child.n.01
took,take.v.04
ice~skates,ice_skate.n.01
and,O
made,make.v.28
for,O
frozen,frozen.a.01
pond,pond.n.01
learned,learn.v.01
Russian,russian.n.02
instead,O
of,O
All,entity.n.01
says,say.v.01
is,O
true,true.a.01
was,O
very,very.r.01
old,old.a.01
took,take_care.v.02
care,care.n.01
of,O
wound,wound.n.01
'm,O
hungry,hungry.a.01
woman,woman.n.01
is,be.v.03
from,O
speaks,speak.v.03
Chinese,chinese.n.01
Somebody,person.n.01
knows,know.v.01
speaks,speak.v.03
French,french.n.01
fluently,fluently.r.01
is,O
bigger,big.a.01
than,O
wizard,wizard.n.02
is,O
much,O
bigger,big.a.01
than,O
wife,wife.n.01
loves,love.v.01
apple~pie,apple_pie.n.01
aunt,aunt.n.01
had,have.v.01
three,O
kids,kid.n.04
is,O
not,O
as,O
big,big.a.01
is,O
scantily,scantily.r.01
clad,clad.a.01
How,O
many,O
languages,language.n.01
do,O
speak,speak.v.03
have,have.v.16
stomachache,stomachache.n.01
company,company.n.01
and,O
marketing,marketing.n.02
department,department.n.01
are,O
based,based.a.02
in,O
Ten,O
people,person.n.01
died,die.v.01
in,O
accident,accident.n.01
is,be.v.02
world,world.n.04
's,O
second,O
largest,large.a.01
island,island.n.01
company,company.n.01
is,O
led,lead.v.07
by,O
Everybody,person.n.01
applauded,applaud.v.01
ate,eat.v.01
apple,apple.n.01
'm,be.v.03
in,O
right,O
now,O
is,O
pregnant,pregnant.a.01
play,play.v.01
video~games,video_game.n.01
is,O
stoic,stoic.a.01
room,room.n.01
had,have.v.02
nice,nice.a.01
cozy,cozy.a.01
feel,feel.n.02
are,O
bored,bored.a.01
dog,dog.n.01
is,O
barking,bark.v.04
now,O
wife,wife.n.01
was,O
killed,kill.v.01
in,O
accident,accident.n.01
son,son.n.01
entered,enter.v.03
high~school,high_school.n.01
's,be.v.03
in,O
bathroom,bathroom.n.01
storm,storm.n.01
rattled,rattle.v.02
shutters,shutter.n.02
is,O
dark-skinned,dark-skinned.a.01
planted,plant.v.01
three,O
apple~trees,apple_tree.n.01
in,O
yard,yard.n.02
band,band.n.05
comes,come.v.01
to,O
town,town.n.01
tomorrow,O
Give,give.v.03
money,money.n.01
television,television.n.02
is,O
broken,broken.a.11
're,O
biased,biased.a.01
senses,sense.v.03
aliens,alien.n.03
are,O
watching,watch.v.02
parents,parent.n.01
hate,hate.v.01
Read,read.v.01
fucking,fucking.a.01
manual,manual.n.01
'm,O
already,O
married,married.a.01
Polyglots,polyglot.n.01
are,O
sexier,sexy.a.01
adores,adore.v.01
baby,baby.n.01
's,O
cute,cute.a.01
round,round.a.01
face,face.n.01
There,O
's,be.v.03
place,place.n.01
called,call.v.01
in,O
farm~workers,farm_worker.n.01
unloaded,unload.v.02
truck,truck.n.01
saw,see.v.01
on,O
TV,tv.n.01
convict,convict.n.01
has,O
escaped,escape.v.01
from,O
prison,prison.n.01
bridge,bridge.n.01
is,O
made,make.v.06
of,O
wood,wood.n.01
borrowed,borrow.v.01
screwdriver,screwdriver.n.01
from,O
friend,friend.n.01
of,O
mine,O
speaks,speak.v.03
German,german.n.02
is,O
napping,nap.v.01
on,O
sofa,sofa.n.01
has,O
been,O
sitting,sit.v.01
on,O
riverbank,riverbank.n.01
for,O
hours,hour.n.01
There,O
are,be.v.03
lot,O
of,O
earthquakes,earthquake.n.01
in,O
's,O
hungry,hungry.a.01
is,O
not,O
funny,funny.a.01
anymore,O
vote,vote.n.01
counts,count.v.07
turned,turn_down.v.05
down,O
radio,radio.n.02
's,O
anorexic,anorexic.a.01
How,O
old,old.a.02
is,O
tree,tree.n.01
is,O
absorbed,absorbed.a.01
in,O
study,study.n.06
of,O
is,be.v.02
favorite,favorite.a.02
composer,composer.n.01
Do,O
like,like.v.02
furniture,furniture.n.01
wife,wife.n.01
teaches,teach.v.01
Italian,italian.n.02
daughter,daughter.n.01
was,O
born,bear.v.02
in,O
highest,high.a.01
mountain,mountain.n.01
in,O
is,O
meters,meter.n.01
high,high.a.01
Poaching,poach.v.01
is,O
illegal,illegal.a.01
hunters,hunter.n.01
aimed,aim.v.01
at,O
elephant,elephant.n.01
broke,break_up.v.02
up,O
with,O
saw,see.v.01
too,O
one,person.n.01
will,O
change,change.v.01
anything,entity.n.01
scratched,scratch.v.03
died,die.v.01
when,O
was,O
's,be.v.02
favorite,favorite.a.02
small,small.a.01
town,town.n.01
in,O
United~States,country.n.02
voyage,voyage.n.01
from,O
to,O
used,O
take,take.v.02
months,month.n.01
's,O
paraplegic,paraplegic.a.01
Should,O
call,call.v.03
left,leave.v.01
hour,hour.n.01
ago,O
is,O
