brown,brown.a.01
boy-scouts,boy_scout.n.01
jeered,jeer.v.01
and,O
scuttled,scuttle.v.01
into,O
building,building.n.01
Five,O
rings,ring.n.08
In,O
site,site.n.01
was,O
acquired,acquire.v.01
by,O
announced,announce.v.02
economy,economy.n.01
measures,measure.n.01
have,O
been,O
arrested,arrest.v.01
already,O
were,O
silent,silent.a.02
is,be.v.02
height,height.n.01
of,O
tallest,tall.a.01
redwood,redwood.n.02
directed,direct.v.03
film,film.n.01
roller~coaster,roller_coaster.n.02
is,be.v.02
fastest,fast.a.01
in,O
world,world.n.04
How,O
tall,tall.a.01
is,O
How,O
many,O
people,person.n.01
in,O
do,O
not,O
have,have.v.02
health~insurance,health_insurance.n.01
How,manner.n.01
did,O
die,die.v.01
'm,O
bored,bored.a.02
right,O
now,O
were,O
satisfied,satisfied.a.01
shrugged,shrug.v.01
shoulders,shoulder.n.01
is,be.v.01
airline,airline.n.02
based,based.a.02
in,O
is,O
fakir,fakir.n.01
is,O
out,out.r.01
now,O
was,O
n't,O
wearing,wear.v.01
thing,entity.n.01
's,O
absent-minded,absentminded.a.01
abhors,abhor.v.01
violence,violence.n.01
is,be.v.08
not,O
good,good.a.01
sailor,sailor.n.01
Everyone,person.n.01
's,O
eating,eat.v.02
is,be.v.01
old,old.a.02
letter,letter.n.01
is,O
rinsing,rinse.v.01
dishes,dish.n.01
Will,O
die,die.v.01
house,house.n.01
has,O
burnt,burn_down.v.01
down,O
is,O
being,O
silly,silly.a.01
n't,O
smoked,smoke.v.01
cigar,cigar.n.01
is,O
disrespectful,disrespectful.a.01
's,O
brushing,brush.v.03
hair,hair.n.01
loved,love.v.03
have,O
n't,O
been,be.v.03
to,O
since,O
college,college.n.02
was,O
founded,found.v.01
by,O
Something,entity.n.01
's,O
burning,burn.v.01
sun,sun.n.01
is,O
rising,rise.v.01
sister,sister.n.01
is,O
n't,O
studying,study.v.05
now,O
Is,O
cat,cat.n.01
all~right,all_right.a.01
does,O
n't,O
know,know.v.04
door,door.n.01
is,O
opening,open.v.01
now,O
There,O
are,be.v.03
rats,rat.n.01
in,O
kitchen,kitchen.n.01
is,O
poor,poor.a.02
girl,girl.n.01
was,O
visibly,visibly.r.01
shaken,shaken.a.01
after,O
accident,accident.n.01
artist,artist.n.01
is,O
gifted,gifted.a.01
was,O
thoughtful,thoughtful.a.05
is,be.v.02
paint,paint.n.01
with,O
stick,stick.n.01
Is,O
phone,phone.n.01
ringing,ring.v.01
have,have.v.04
big,big.a.01
dog,dog.n.01
're,O
workaholic,workaholic.n.01
Yesterday,O
went,go.v.01
to,O
opera,opera.n.03
is,be.v.01
plucky,plucky.a.02
guy,guy.n.01
How,O
's,O
cold,cold.n.01
deserve,deserve.v.01
explanation,explanation.n.01
just,O
left,leave.v.01
will,O
not,O
lie,lie.v.05
to,O
needed,need.v.02
money,money.n.01
ate,eat.v.01
dinner,dinner.n.01
game,game.n.01
excited,excite.v.01
lots,O
of,O
people,person.n.01
boy,boy.n.01
fanned,fan.v.03
with,O
hat,hat.n.01
Everyone,person.n.01
wants,want.v.01
Coffee,coffee.n.01
will,O
be,O
served,serve.v.05
after,O
meal,meal.n.01
has,have.v.01
two~thousand,O
books,book.n.01
is,O
leaving,leave.v.01
tomorrow,O
body,person.n.01
except,O
went,go.v.01
to,O
party,party.n.04
is,O
spinning,spin.v.06
wool,wool.n.02
'm,O
very,very.r.01
lazy,lazy.a.02
people,person.n.01
might,O
assume,assume.v.01
was,O
like,like.a.01
father,father.n.01
to,O
Packing,pack.v.01
sucks,suck.v.04
How,O
heavy,heavy.a.01
are,O
story,story.n.02
is,be.v.01
famous,famous.a.01
one,story.n.02
everyone,person.n.01
knows,know.v.01
works,work.v.02
for,O
oil~company,oil_company.n.01
is,O
studying,study.v.02
agriculture,agriculture.n.02
carefully,carefully.r.01
wiped,wipe.v.01
fingerprints,fingerprint.n.01
off,O
knife,knife.n.01
jokes,joke.n.01
are,O
n't,O
funny,funny.a.01
kind,entity.n.01
of,O
remark,remark.n.01
does,O
not,O
befit,befit.v.01
'd~better,O
drive,drive.v.03
home,home.n.01
stupidity,stupidity.n.01
is,O
abysmal,abysmal.a.01
did,O
n't,O
find,find.v.03
and,O
detest,detest.v.01
each~other,O
is,O
less,O
diligent,diligent.a.01
than,O
was,O
hurt,hurt.v.02
took,take.v.09
elevator,elevator.n.01
to,O
third,3.n.01
floor,floor.n.02
think,think.v.01
is,O
normal,normal.a.03
brother,brother.n.01
is,O
rich,rich.a.01
drives,drive.v.04
crazy,crazy.a.03
is,be.v.01
common,common.a.02
name,name.n.01
plan,plan.n.01
worked,work.v.03
sang,sing.v.02
song,song.n.01
alarm,alarm.n.04
did,O
n't,O
wake,wake.v.05
was,O
sweating,sweat.v.01
says,say.v.01
's,O
busy,busy.a.01
have,O
lost,lose.v.04
pencil,pencil.n.01
have,O
got,get_into.v.03
into,O
sister,sister.n.01
is,O
not,O
going,go.v.01
to,O
picked,pick_up.v.02
up,O
coin,coin.n.01
needed,need.v.01
is,O
creepy,creepy.a.02
phoned,phone.v.01
's,O
eating,eat.v.02
skier,skier.n.01
suffered,suffer.v.02
head,head.n.01
trauma,trauma.n.01
joined,join.v.03
lot,O
of,O
books,book.n.02
Do,O
belong,belong.v.01
to,O
university,university.n.03
library,library.n.02
supported,support.v.01
'm,O
not,O
creative,creative.a.01
is,O
snoring,snore.v.01
seems,seem.v.01
conceited,conceited.a.01
was,O
very,very.r.01
good,good.a.01
dialled,dial.v.02
number,number.n.04
leaves,leaf.n.01
fell,fall.v.01
to,O
earth,earth.n.03
is,O
wet,wet.a.01
played,play.v.05
with,O
dog,dog.n.01
needs,need.v.01
assistants,assistant.n.01
lied,lie.v.05
to,O
does,O
n't,O
regard,regard.v.03
's,O
clean,clean.a.02
Ten,O
prisoners,prisoner.n.01
broke,break_out.v.03
out,O
of,O
jail,jail.n.01
watch,watch.n.01
may,O
be,O
one,O
or,O
two,O
minutes,minute.n.01
fast,fast.a.02
cube~root,cube_root.n.01
of,O
twenty-seven,O
is,be.v.06
three,O
is,O
extremely,extremely.r.02
gullible,gullible.a.01
know,know.v.01
is,O
honest,honest.a.01
won,win.v.01
has,O
never,O
been,O
skiing,ski.v.01
try,try.v.01
is,O
grinning,grin.v.01
All,entity.n.01
passengers,passenger.n.01
died,die.v.01
but,O
survived,survive.v.01
method,method.n.01
was,O
too,too.r.01
expensive,expensive.a.01
to,O
be,O
practical,practical.a.01
've,O
never,O
been,be.v.03
to,O
was,O
n't,O
running,run.v.01
ate,eat.v.02
girls,girl.n.01
reveled,revel.v.01
in,O
dancing,dance.n.03
graduated,graduate.v.01
from,O
laid,lay.v.01
racket,racket.n.04
on,O
ground,ground.n.01
ca,O
n't,O
open,open.v.01
bottle,bottle.n.01
have,have.v.02
very,very.r.01
good,good.a.01
voice,voice.n.01
is,O
rich,rich.a.01
but,O
unkind,unkind.a.01
misled,mislead.v.01
hope,hope.v.01
agrees,agree.v.01
use,use.v.01
really,really.r.01
state-of-the-art,state-of-the-art.a.01
equipment,equipment.n.01
With,O
are,O
eating,eat.v.02
dinner,dinner.n.01
storm,storm.n.01
abated,abate.v.02
's,O
watching,watch.v.03
watch,watch.n.01
says,say.v.11
Everybody,person.n.01
hates,hate.v.01
'm,be.v.01
genius,genius.n.01
lives,live.v.01
in,O
city,city.n.01
storm,storm.n.01
let,let_up.v.01
up,O
buds,bud.n.02
began,begin.v.01
to,O
open,open.v.03
There,O
are,be.v.03
many,O
islands,island.n.01
in,O
blast,blast.n.04
destroyed,destroy.v.02
everything,entity.n.01
was,O
n't,O
prepared,prepared.a.01
is,O
not,O
dead,dead.a.01
doll,doll.n.01
lay,lie.v.01
on,O
floor,floor.n.01
do,O
not,O
like,like.v.02
science,science.n.01
's,O
Argentinian,country.n.02
How,O
's,O
dog,dog.n.01
left,leave.v.01
at,O
midnight,O
am,be.v.03
in,O
was,O
having,have.v.06
dinner,dinner.n.01
with,O
Fish,fish.n.01
surface,surface.v.01
for,O
air,air.n.01
saw,see.v.01
mouse,mouse.n.01
like,like.v.03
teachers,teacher.n.01
laughs,laugh.v.01
a~lot,a_lot.r.01
apple,apple.n.01
is,O
not,O
green,green.a.01
volunteered,volunteer.v.02
drives,drive.v.01
truck,truck.n.01
and,O
wife,wife.n.01
station~wagon,station_wagon.n.01
's,O
obvious,obvious.a.01
are,O
perfect,perfect.a.01
lied,lie.v.05
to,O
did,O
n't,O
jungle,jungle.n.01
gave,give_in.v.01
in,O
is,be.v.01
born,bear.v.02
in,O
Austrian,country.n.02
visited,visit.v.03
yesterday,O
took,take_part.v.01
part,O
in,O
race,race.n.02
'm,O
drunk,drunk.a.01
dreamed,dream.v.01
of,O
often,O
has,O
kept,keep.v.08
diary,diary.n.01
for,O
years,year.n.01
needed,need.v.03
money,money.n.01
need,need.v.02
is,O
manipulative,manipulative.a.01
Everything,entity.n.01
is,O
new,new.a.01
did,O
n't,O
answer,answer.v.03
all,O
questions,question.n.03
is,O
eavesdropping,eavesdrop.v.01
lucky,lucky.a.02
live,live.a.01
is,O
drowning,drown.v.03
friend,friend.n.01
invited,invite.v.05
to,O
dinner,dinner.n.02
at,O
restaurant,restaurant.n.01
hope,hope.v.01
's,O
all~right,all_right.a.01
caused,cause.v.01
broke,break_up.v.02
up,O
with,O
Why,reason.n.01
are,O
shouting,shout.v.01
is,O
gay,gay.a.06
found,find.v.03
draws,draw.v.06
well,well.r.01
did,O
not,O
read,read.v.01
book,book.n.01
and,O
stopped,stop.v.02
hugging,hug.v.01
dog,dog.n.01
ran,run.v.01
in,O
yard,yard.n.02
went,O
fishing,fish.v.02
Do,O
prefer,prefer.v.01
Belgian,country.n.02
or,O
German,country.n.02
beer,beer.n.01
is,O
ready,ready.a.01
drives,drive.v.02
slowly,slowly.r.01
How,O
much,O
did,O
glasses,glasses.n.03
cost,cost.v.01
grandmother,grandmother.n.01
passed,pass_away.v.01
away,O
Eight,O
plus,plus.n.02
two,O
is,be.v.06
ten,O
was,O
excited,excited.a.01
Somebody,person.n.01
's,O
at,O
front~door,front_door.n.01
's,O
house,house.n.01
is,O
easy,easy.a.01
to,O
find,find.v.03
spent,spend.v.01
several,O
hours,hour.n.01
in,O
library,library.n.05
has,have.v.02
bought,buy.v.01
house,house.n.01
which,O
six,O
rooms,room.n.01
am,O
spreading,spread.v.10
mustard,mustard.n.02
on,O
slice,slice.n.02
of,O
bread,bread.n.01
cups,cup.n.01
are,O
broken,broken.a.01
'm,O
too,O
crawled,crawl.v.01
out~of,O
bed,bed.n.01
benefited,benefit.v.01
greatly,greatly.r.01
from,O
's,O
generous,generous.a.01
support,support.n.01
is,O
courteous,courteous.a.01
is,O
writing,write.v.02
letter,letter.n.01
eat,eat.v.01
banana,banana.n.02
is,O
taller,tall.a.01
than,O
Is,O
popular,popular.a.01
in,O
as~well,O
Alas,alas.r.01
is,O
as,O
tall,tall.a.01
father,father.n.01
oversimplifies,oversimplify.v.01
everything,entity.n.01
ca,O
n't,O
talk,talk.v.02
now,O
has,have.v.01
Swiss,country.n.02
bank~account,bank_account.n.01
story,story.n.02
does,O
n't,O
have,have.v.02
happy,happy.a.01
ending,ending.n.04
is,O
impossible,impossible.a.01
's,O
paralyzed,paralyzed.a.01
've,O
been,O
stung,sting.v.02
by,O
hornet,hornet.n.01
failed,fail.v.07
because,O
did,O
n't,O
study,study.v.05
got,O
sick,sick.a.01
's,be.v.02
favorite,favorite.a.02
commercial,commercial.n.01
lowered,lower.v.01
bucket,bucket.n.01
into,O
well,well.n.01
's,be.v.02
oldest,old.a.01
son,son.n.01
'm,O
nervous,nervous.a.04
now,O
reached,reach.v.03
for,O
pistol,pistol.n.01
Sally,female.n.02
is,O
two,O
years,year.n.01
older,old.a.01
than,O
But,O
nobody,O
believed,believe.v.01
love,love.v.01
Italian,country.n.02
food,food.n.02
is,O
still,O
uncertain,uncertain.a.01
family,family.n.01
is,O
very,very.r.01
proud,proud.a.01
of,O
is,O
as,O
fast,O
leopard,leopard.n.02
loves,love.v.02
to,O
cook,cook.v.01
If,O
text,text.n.01
does,O
n't,O
make,make_sense.v.01
sense,O
is,O
coherent,coherent.a.01
serpent,serpent.n.01
tempted,tempt.v.02
ca,O
n't,O
speak,speak.v.03
French,french.n.01
Spanish,spanish.n.01
wants,want.v.01
to,O
paint,paint.v.02
car,car.n.01
bright~blue,bright_blue.a.01
never,time.n.01
lie,lie.v.05
politician,politician.n.01
is,be.v.01
old,old.a.04
fox,fox.n.02
are,O
dozing,doze_off.v.01
off,O
cat,cat.n.01
is,O
watching,watch.v.01
fish,fish.n.01
decapitated,decapitated.a.01
body,person.n.02
was,be.v.03
on,O
coroner,coroner.n.01
's,O
table,table.n.02
Many,O
man,man.n.03
has,O
predicted,predict.v.01
is,be.v.02
one,person.n.01
want,want.v.03
jumped,jump.v.01
into,O
train,train.n.01
is,O
more,more.r.01
popular,popular.a.01
than,O
roads,road.n.01
lead,lead.v.11
to,O
station,station.n.01
found,find.v.03
one,entity.n.01
son,son.n.01
will,O
take,take_over.v.03
over,O
job,job.n.02
Speak,speak.v.01
clear,clear.a.09
shoes,shoe.n.01
are,O
little,O
loose,loose.a.03
ca,O
n't,O
understand,understand.v.01
table,table.n.01
is,be.v.02
map,map.n.01
of,O
city,city.n.01
was,O
carrying,carry.v.01
bucket,bucket.n.01
of,O
water,water.n.06
was,O
crying,cry.v.02
're,O
very,very.r.01
happy,happy.a.01
with,O
results,result.n.03
'm,O
really,O
fed~up,fed_up.a.01
with,O
heat,heat.n.02
Man,man.n.11
has,O
been,O
writing,write.v.02
for,O
about,O
years,O
acknowledged,acknowledge.v.01
mistake,mistake.n.01
lot,O
of,O
insects,insect.n.01
are,O
chirping,chirp.v.01
in,O
field,field.n.01
'm,be.v.08
volleyball~player,volleyball_player.n.01
mother,mother.n.01
made,make.v.06
sweater,sweater.n.01
are,O
not,O
watching,watch.v.03
TV,tv.n.01
now,O
is,O
exciting,exciting.a.01
pie,pie.n.01
is,O
fresh,fresh.a.01
is,O
watering,water.v.02
garden,garden.n.01
played,play.v.03
piano,piano.n.01
and,O
sang,sing.v.01
hugged,hug.v.01
saw,see.v.01
monkey,monkey.n.01
at,O
zoo,zoo.n.01
'll,O
hang,hang_up.v.02
coat,coat.n.01
up,O
behind,O
door,door.n.01
called,call_up.v.02
mother,mother.n.01
up,O
from,O
airport,airport.n.01
There,O
are,be.v.03
over,O
speakers,speaker.n.01
in,O
world,world.n.04
was,O
expelled,expel.v.01
from,O
school,school.n.01
Despite,O
great,great.a.01
wealth,wealth.n.01
are,O
not,O
happy,happy.a.02
started,start.v.01
walking,walk.v.01
has,O
read,read.v.01
times,time.n.01
gave,give.v.03
money,money.n.01
of,O
were,O
surprised,surprised.a.01
at,O
news,news.n.01
rain,rain.n.01
is,O
letting,let_up.v.01
up,O
'll,O
miss,miss.v.02
too,O
am,O
counting,count.v.08
on,O
help,help.n.01
is,O
extremely,extremely.r.01
fit,fit.a.03
's,O
plan,plan.n.01
actually,actually.r.01
worked,work.v.03
's,O
shorter,short.a.03
than,O
father,father.n.01
want,want.v.01
now,O
Emily,female.n.02
is,O
crying,cry.v.02
borrowed,borrow.v.01
's,O
car,car.n.01
brought,bring.v.01
wine,wine.n.01
train,train.n.01
leaves,leave.v.01
at,O
nine~o'clock,O
's,O
speech,speech.n.01
was,O
good,good.a.01
ripped,rip_off.v.01
off,O
have,O
been,be.v.03
to,O
twice,O
picked,pick_up.v.02
diamond,O
up,O
and,O
looked,look.v.01
at,O
came,come.v.01
back,back.r.01
at,O
bedroom,bedroom.n.01
is,O
crawling,crawl.v.03
with,O
spiders,spider.n.01
is,O
very,very.r.01
polite,polite.a.01
's,O
good,good.a.01
Maybe,O
killed,kill.v.01
's,O
cleaning,clean.v.01
book,book.n.01
There,O
are,be.v.03
plenty,O
of,O
fish,fish.n.01
in,O
river,river.n.01
was,O
praying,pray.v.01
doctor,doctor.n.01
told,tell.v.02
should,O
eat,eat.v.01
lot,O
of,O
vegetables,vegetable.n.01
saw,see.v.01
small,small.a.02
on,O
left,left.a.01
knee,knee.n.01
won,win.v.01
phone,phone.n.01
am,O
engaged,engage.v.05
to,O
was,O
afraid,afraid.a.01
is,O
n't,O
winning,win.v.01
suit,suit.n.01
's,O
made,make.v.03
of,O
very,very.r.01
rough,rough.a.01
material,material.n.01
Somebody,person.n.01
catch,catch.v.04
man,man.n.01
is,O
amused,amused.a.01
Are,be.v.02
yours,O
always,time.n.01
get,get_up.v.02
up,O
at,O
in,O
morning,morning.n.01
price,price.n.02
rose,rise.v.02
threw,throw.v.01
rope,rope.n.01
tour,tour.n.01
is,O
going,O
to,O
be,O
amazing,amazing.a.01
can,O
buy,buy.v.01
stamps,stamp.n.04
at,O
post~office,post_office.n.01
's,O
eyes,eye.n.01
are,O
red,red.a.01
and,O
looks,look.v.02
very,very.r.01
tired,tired.a.01
's,O
cooking,cook.v.02
breakfast,breakfast.n.01
played,play.v.05
on,O
banks,bank.n.01
of,O
handed,hand.v.01
glass,glass.n.02
of,O
red~wine,red_wine.n.01
were,O
right,right.a.05
There,O
are,be.v.03
many,O
birds,bird.n.01
in,O
park,park.n.01
is,O
personal,personal.a.01
is,O
angry,angry.a.01
now,O
rented,rent.v.03
canoe,canoe.n.01
did,O
n't,O
murder,murder.v.01
anyone,person.n.01
am,O
saving,save_up.v.01
up,O
so~that,O
can,O
go,go.v.01
to,O
like,like.v.02
bright,bright.a.01
colors,color.n.01
agree,agree.v.01
loves,love.v.01
tulips,tulip.n.01
love,love.v.01
thick,thick.a.03
creamy,creamy.a.02
mushroom,mushroom.n.01
soup,soup.n.01
honked,honk.v.02
horn,horn.n.11
's,be.v.01
terrible,terrible.a.02
driver,driver.n.01
fled,flee.v.01
'm,O
exhausted,exhausted.a.01
conference,conference.n.01
drew,draw.v.26
diplomats,diplomat.n.01
loved,love.v.01
of,O
twisted,twist.v.09
truth,truth.n.02
admire,admire.v.01
talent,talent.n.01
monkey,monkey.n.01
escaped,escape.v.01
from,O
cage,cage.n.01
man,man.n.01
is,O
playing,play.v.07
flute,flute.n.01
badger,badger.n.02
is,O
n't,O
burrowing,burrow.v.01
hole,hole.n.02
whispered,whisper.v.01
something,entity.n.01
to,O
and,O
smiled,smile.v.02
asked,ask.v.01
if,O
like,like.v.02
mathematics,mathematics.n.01
Somebody,person.n.01
was,O
murdered,murder.v.01
Baena~Soares,male.n.02
was,O
arrested,arrest.v.01
by,O
armed~forces,armed_forces.n.01
Reform,reform.n.01
allows,allow.v.01
home,home.n.02
schooling,schooling.n.01
is,O
located,located.a.01
in,O
was,O
torn,tear_down.v.01
down,O
in,O
Finishing,finish.v.01
job,job.n.02
by,O
will,O
be,be.v.01
piece~of~cake,piece_of_cake.n.01
smell,smell.n.01
of,O
lilies,lily.n.01
filled,fill.v.01
room,room.n.01
wrote,write.v.01
book,book.n.01
dog,dog.n.01
is,O
dying,die.v.01
lives,live.v.01
in,O
hospital,hospital.n.01
has,have.v.02
lot,O
of,O
new,new.a.01
equipment,equipment.n.01
wants,want.v.03
money,money.n.01
mother~tongue,mother_tongue.n.01
is,be.v.02
Japanese,japanese.n.02
do,O
n't,O
have,have.v.04
bicycle,bicycle.n.01
Where,location.n.01
's,be.v.03
newspaper,newspaper.n.01
has,O
resigned,resign.v.02
Nobody,O
can,O
surpass,surpass.v.02
are,be.v.03
on,O
wrong,wrong.a.03
train,train.n.01
wrinkled,wrinkle.v.03
brows,brow.n.02
had,have.v.01
one,O
daughter,daughter.n.01
postman,postman.n.01
was,O
bitten,bite.v.01
by,O
dog,dog.n.01
'm,O
pregnant,pregnant.a.01
shoes,shoe.n.01
are,O
brown,brown.a.01
was,O
brave,brave.a.01
dog,dog.n.01
is,O
white,white.a.01
designed,design.v.03
own,own.a.01
clothes,clothes.n.01
house,house.n.01
is,O
famous,famous.a.01
Is,O
explanation,explanation.n.01
clear,clear.a.01
sings,sing.v.02
song,song.n.01
bicycle,bicycle.n.01
is,be.v.02
mine,O
Oscar,animal.n.01
was,be.v.02
mum,mum.n.02
's,O
dog,dog.n.01
According,according.a.02
to,O
radio,radio.n.01
will,O
rain,rain.v.01
tomorrow,day.n.03
'm,O
so,so.r.01
tired,tired.a.01
was,O
heartbroken,heartbroken.a.01
is,be.v.02
's,O
canary,canary.n.04
thief,thief.n.01
hid,hide.v.01
in,O
dark,dark.a.01
doorway,doorway.n.01
love,love.v.03
How,O
much,O
does,O
tie,tie.n.01
cost,cost.v.01
based,based.a.02
Conservation~Corporation,company.n.01
threatens,threaten.v.01
local,local.a.02
population,population.n.02
Approximately,O
farmers,farmer.n.01
were,O
disowned,disown.v.02
during,O
agricultural,agricultural.a.02
reform,reform.n.01
HBV~Union,alliance.n.03
Austrian,country.n.02
job,job.n.01
market,market.n.01
is,O
also,O
improving,improve.v.02
How,O
was,O
founded,found.v.01
Which,entity.n.01
state,state.n.01
has,have.v.02
longest,long.a.02
coastline,coastline.n.01
on,O
is,be.v.02
most,most.r.01
famous,famous.a.01
international,international.a.01
terrorist,terrorist.n.01
How,O
tall,tall.a.01
is,O
Matterhorn,mountain.n.01
How,O
many,O
inhabitants,inhabitant.n.01
does,O
have,have.v.02
wo,O
n't,O
speak,speak.v.02
to,O
am,O
acquainted,acquainted.a.01
with,O
need,need.v.01
to,O
buy,buy.v.01
one,entity.n.01
think,think.v.01
is,O
outgoing,outgoing.a.03
saw,see.v.03
everything,entity.n.01
am,O
not,O
have,have.v.01
electric~guitar,electric_guitar.n.01
pilot,pilot.n.01
raced,race.v.02
for,O
from,O
to,O
hates,hate.v.01
parties,party.n.04
owe,owe.v.03
dollars,dollar.n.01
is,O
exceptional,exceptional.a.01
is,O
putting,put.v.01
children,child.n.01
to,O
bed,bed.n.01
spent,spend.v.02
more~than,O
three,O
dollars,dollar.n.01
father,father.n.01
's,be.v.03
in,O
garden,garden.n.03
Two,O
years,year.n.01
ago,O
went,go.v.01
to,O
dove,dove.n.01
symbolizes,symbolize.v.01
peace,peace.n.03
is,O
extremely,extremely.r.02
strong,strong.a.01
puts,put.v.01
stevia,stevia.n.01
in,O
coffee,coffee.n.01
instead,O
of,O
sugar,sugar.n.01
wiped,wipe.v.01
sweat,sweat.n.01
from,O
forehead,forehead.n.01
Which,entity.n.01
suitcases,suitcase.n.01
are,be.v.02
's,suitcase.n.01
There,O
is,be.v.03
yogurt,yogurt.n.01
in,O
refrigerator,refrigerator.n.01
Someone,person.n.01
has,O
given,give.v.01
cold,cold.n.01
's,be.v.03
favorite,favorite.a.02
cartoon,cartoon.n.01
rolled,roll_over.v.01
over,O
in,O
bed,bed.n.01
handed,hand.v.01
money,money.n.01
owed,owe.v.01
was,O
born,bear.v.02
on,O
too,O
am,O
worried,worried.a.01
about,O
wine,wine.n.01
's,O
very,very.r.01
intoxicating,intoxicating.a.02
loves,love.v.01
chocolate~cake,chocolate_cake.n.01
is,O
very,O
naive,naive.a.01
n't,O
saw,see.v.08
week,week.n.01
ago,O
father,father.n.01
was,be.v.08
engineer,engineer.n.01
am,O
taller,tall.a.01
'm,O
athletic,athletic.a.01
idolized,idolize.v.01
There,O
are,be.v.03
number,O
of,O
movie~theaters,movie_theater.n.01
in,O
city,city.n.01
made,make.v.15
supper,supper.n.01
Maybe,O
is,O
Italian,country.n.02
or,O
Spanish,country.n.02
forgot,forget.v.02
password,password.n.01
matters,matter.v.01
to,O
news,news.n.01
is,O
official,official.a.01
have,have.v.01
eight,O
brothers,brother.n.01
adore,adore.v.01
elephants,elephant.n.01
has,have.v.01
nice,nice.a.01
legs,leg.n.01
can,O
not,O
speak,speak.v.03
German,german.n.02
